[11/11/2023 23:34:48] [INFO] received Windows console close event; shutting log-core down
[17/11/2023 21:50:34] [INFO] received Windows console close event; shutting log-core down
[17/11/2023 21:52:08] [INFO] received Windows console close event; shutting log-core down
[17/11/2023 21:53:18] [INFO] received Windows console close event; shutting log-core down
[19/11/2023 16:30:05] [INFO] received Windows console close event; shutting log-core down
[19/11/2023 16:31:10] [INFO] received Windows console close event; shutting log-core down
[19/11/2023 16:33:39] [INFO] received Windows console close event; shutting log-core down
[19/11/2023 16:34:47] [INFO] received Windows console close event; shutting log-core down
[19/11/2023 16:37:10] [INFO] received Windows console close event; shutting log-core down
[19/11/2023 16:38:12] [INFO] received Windows console close event; shutting log-core down
[19/11/2023 16:38:38] [INFO] received Windows console close event; shutting log-core down
[19/11/2023 16:39:19] [INFO] received Windows console close event; shutting log-core down
[19/11/2023 16:41:16] [INFO] received Windows console close event; shutting log-core down
[19/11/2023 16:41:47] [INFO] received Windows console close event; shutting log-core down
[19/11/2023 16:42:02] [INFO] received Windows console close event; shutting log-core down
[19/11/2023 16:48:34] [INFO] received Windows console close event; shutting log-core down
[19/11/2023 16:50:13] [INFO] received Windows console close event; shutting log-core down
[19/11/2023 16:50:38] [INFO] received Windows console close event; shutting log-core down
[19/11/2023 16:51:35] [INFO] received Windows console close event; shutting log-core down
[19/11/2023 16:53:49] [INFO] received Windows console close event; shutting log-core down
[19/11/2023 16:54:36] [INFO] received Windows console close event; shutting log-core down
[19/11/2023 16:57:44] [INFO] received Windows console close event; shutting log-core down
[19/11/2023 17:05:11] [INFO] received Windows console close event; shutting log-core down
[19/11/2023 17:11:46] [INFO] received Windows console close event; shutting log-core down
[19/11/2023 17:15:25] [INFO] received Windows console close event; shutting log-core down
[19/11/2023 17:20:20] [INFO] received Windows console close event; shutting log-core down
[19/11/2023 17:25:36] [INFO] received Windows console close event; shutting log-core down
[19/11/2023 17:27:23] [INFO] received Windows console close event; shutting log-core down
[19/11/2023 17:31:35] [INFO] received Windows console close event; shutting log-core down
[19/11/2023 17:36:49] [INFO] received Windows console close event; shutting log-core down
[19/11/2023 17:43:34] [INFO] received Windows console close event; shutting log-core down
[19/11/2023 17:47:41] [INFO] received Windows console close event; shutting log-core down
[19/11/2023 17:58:28] [INFO] received Windows console close event; shutting log-core down
[19/11/2023 18:00:38] [INFO] received Windows console close event; shutting log-core down
[21/11/2023 12:38:44] [INFO] received Windows console close event; shutting log-core down
[21/11/2023 14:49:33] [INFO] received Windows console close event; shutting log-core down
